ссылка;адрес;район;город;площадь;цена;дата публикации
https://n1.ru/view/28193748/;2-к, Северной Двины набережная, 71;Ломоносовский округ, Центр;Архангельск, ;75 м2;6 200 000 ;01.11.2018
https://n1.ru/view/28414035/;2-к, Ленинградский проспект, 23;Ломоносовский округ;Архангельск;51 м2;2 790 000 ;21.11.2018
https://n1.ru/view/27643058/;2-к, Шабалина, 22;Ломоносовский округ, Центр;Архангельск;46 м2;3 300 000 ;18.09.2018
https://n1.ru/view/27546840/;2-к, Воскресенская, 6;Ломоносовский округ, Центр;Архангельск;50 м2;4 000 000 ;10.09.2018
https://n1.ru/view/27455369/;2-к, Смольный Буян, 24 1к;Ломоносовский округ;Архангельск;46 м2;3 160 000 ;03.09.2018
https://n1.ru/view/27268048/;2-к, Смольный Буян, 16 1к;Ломоносовский округ;Архангельск;43 м2;2 300 000 ;21.08.2018
https://n1.ru/view/27268026/;2-к, Смольный Буян, 14 1к;Ломоносовский округ;Архангельск;45 м2;2 520 000 ;21.08.2018
https://n1.ru/view/26554419/;2-к, Ломоносова проспект, 222;Ломоносовский округ, Центр;Архангельск;48 м2;3 200 000 ;28.06.2018
https://n1.ru/view/26503283/;2-к, Ломоносова проспект, 53;Ломоносовский округ, Центр;Архангельск;51 м2;4 870 000 ;25.06.2018
https://n1.ru/view/26411290/;2-к, Тимме, 2 4к;Ломоносовский округ, Привокзальный;Архангельск;51 м2;3 150 000 ;18.06.2018
https://n1.ru/view/25032953/;2-к, Дзержинского проспект, 3 к4;Ломоносовский округ, Привокзальный;Архангельск;46 м2;2 780 000 ;19.03.2018
https://n1.ru/view/24173079/;2-к, Романа Куликова, 21;Ломоносовский округ, Центр;Архангельск;77 м2;6 000 000 ;29.01.2018
https://n1.ru/view/22798222/;2-к, Советских Космонавтов проспект, 52 к2;Ломоносовский округ, Центр;Архангельск;81 м2;7 400 000 ;25.11.2017
https://n1.ru/view/20907975/;2-к, Поморская, 34 к2;Ломоносовский округ, Центр;Архангельск;61 м2;4 600 000 ;23.10.2017
https://n1.ru/view/28703638/;2-к, Ленинградский проспект, 21 корп. 1;Ломоносовский округ;Архангельск;45 м2;2 690 000 ;13.12.2018
https://n1.ru/view/28607715/;2-к, Северной Двины набережная, 71;Ломоносовский округ, Центр;Архангельск, ;48 м2;4 400 000 ;06.12.2018
https://n1.ru/view/28607716/;2-к, Северной Двины набережная, 32;Ломоносовский округ, Центр;Архангельск;80 м2;6 100 000 ;06.12.2018
https://n1.ru/view/28439740/;2-к, Северной Двины набережная, 12;Ломоносовский округ, Центр;Архангельск;45 м2;2 450 000 ;23.11.2018
https://n1.ru/view/28428301/;2-к, Воскресенская, 100;Ломоносовский округ, Центр;Архангельск;45 м2;2 900 000 ;22.11.2018
https://n1.ru/view/28334414/;2-к, Карла Либкнехта, 22;Ломоносовский округ, Центр;Архангельск;59 м2;5 550 000 ;14.11.2018
https://n1.ru/view/28057909/;2-к, Дзержинского проспект, 3 корп. 4;Ломоносовский округ, Привокзальный;Архангельск;46 м2;2 900 000 ;22.10.2018
https://n1.ru/view/27346231/;2-к, Воскресенская, 14;Ломоносовский округ, Центр;Архангельск;58 м2;5 300 000 ;28.08.2018
https://n1.ru/view/26302716/;2-к, Ломоносова проспект, 53;Ломоносовский округ, Центр;Архангельск;51 м2;4 770 000 ;08.06.2018
https://n1.ru/view/16828108/;2-к, Обводный Канал проспект, 29;Ломоносовский округ, Центр;Архангельск;47 м2;3 780 000 ;22.02.2017
https://n1.ru/view/28626542/;2-к, Поморская, 44;Ломоносовский округ, Центр;Архангельск;44 м2;3 249 000 ;07.12.2018
https://n1.ru/view/28189670/;2-к, Ломоносова проспект, 64;Ломоносовский округ, Центр;Архангельск;63 м2;6 550 000 ;01.11.2018
https://n1.ru/view/24173526/;2-к, Поморская, 34 к 3;Ломоносовский округ, Центр;Архангельск;69 м2;3 800 000 ;30.01.2018
